"filename", "language", "JSON", "JavaScript", "CSS", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Sumit\Documents\sumitu\my-store\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\Sumit\Documents\sumitu\my-store\package-lock.json", "JSON", 17499, 0, 0, 0, 0, 0, 0, 1, 17500
"c:\Users\Sumit\Documents\sumitu\my-store\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\Sumit\Documents\sumitu\my-store\public\index.html", "CSS", 0, 0, 44, 0, 0, 0, 0, 5, 49
"c:\Users\Sumit\Documents\sumitu\my-store\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Sumit\Documents\sumitu\my-store\server\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Sumit\Documents\sumitu\my-store\server\package-lock.json", "JSON", 17990, 0, 0, 0, 0, 0, 0, 1, 17991
"c:\Users\Sumit\Documents\sumitu\my-store\server\package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Sumit\Documents\sumitu\my-store\src\App.css", "CSS", 0, 0, 126, 0, 0, 0, 11, 20, 157
"c:\Users\Sumit\Documents\sumitu\my-store\src\App.js", "JavaScript", 0, 74, 0, 0, 0, 0, 2, 7, 83
"c:\Users\Sumit\Documents\sumitu\my-store\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Sumit\Documents\sumitu\my-store\src\api.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\AboutUs.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Cart.css", "CSS", 0, 0, 107, 0, 0, 0, 13, 18, 138
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Cart.js", "JavaScript", 0, 111, 0, 0, 0, 0, 4, 13, 128
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\CategorySection.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\CategorySection.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Header.css", "CSS", 0, 0, 116, 0, 0, 0, 12, 20, 148
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Header.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 13, 103
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Home.css", "CSS", 0, 0, 63, 0, 0, 0, 2, 11, 76
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Home.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 6, 60
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Payment.css", "CSS", 0, 0, 79, 0, 0, 0, 9, 13, 101
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Payment.js", "JavaScript", 0, 88, 0, 0, 0, 0, 1, 16, 105
"c:\Users\Sumit\Documents\sumitu\my-store\src\components\Product.css", "CSS", 0, 0, 71, 0, 0, 0, 0, 15, 86
